site_no,AREA,Lb,X1,Wb,POR,ALPHA,BETA,Ks,Kb,Kz,Qthresh,Rs,Rb1,Rb2,Prec,Frac4Rise,Error,BFF
2193340,8.68E+07,9561.55,100,152.442,0.15,0.04456,1,1331.47,11183.2,0.970556,10494.3,-0.457087,-0.093063,-0.09833,24.4657,0.05,0.71143,0.215134
2338523,4.30E+07,25434.2,100,178.028,0.15,0.015871,1,185.114,12263,0.737049,34496.7,-0.24239,-0.052844,-0.034877,582.529,0.05,0.27974,0.510564
2339495,2.21E+08,6660.38,100,603.018,0.15,0.013586,1,1728.61,16116,0.949129,132115,-0.308156,-0.07976,-0.08348,24.4657,0.05,0.444528,0.327684
2343225,7.55E+08,9356.79,100,1063.9,0.15,0.010444,1,1975.63,7887.36,0.94929,535799,-0.203621,-0.069091,-0.04029,17952.9,0.05,0.335177,0.470271
2343940,1.64E+08,16014.9,100,487.908,0.15,0.011211,1,690.921,15648.2,0.954447,24710.4,-0.225443,-0.066725,-0.021052,2493.06,0.05,0.353537,0.427803
2361000,1.76E+09,9864.25,100,1861.24,0.15,0.009516,1,3002.86,10967.9,0.917435,273013,-0.15065,-0.070474,-0.043559,27890.9,0.05,0.325715,0.454505
2364500,3.03E+09,10642.8,100,2388.72,0.15,0.0093,1,2928.41,13053.9,0.910995,2.86E+06,-0.092251,-0.06053,-0.048324,41053.5,0.05,0.276963,0.524186
2369800,2.25E+08,10461.2,100,603.429,0.15,0.010837,1,840.57,7010.03,0.931926,86858.2,-0.187754,-0.08311,-0.033437,7300.57,0.05,0.28758,0.460717
2371500,1.28E+09,7156.36,100,1286.09,0.15,0.009676,1,1618.44,10588,0.984431,62632.2,-0.090923,-0.074442,-0.043383,6334.17,0.05,0.376911,0.359456
2372250,1.13E+09,19999,100,553.099,0.15,0.0093,1,1088.4,19543,0.892928,67280.7,-0.064548,-0.07635,-0.051137,6823.49,0.05,0.391414,0.265509
2373000,1.20E+09,9566.35,100,1067.56,0.15,0.011829,1,2498.68,13709.8,1.27208,29358.9,-0.149365,-0.110661,-0.042839,2984.82,0.05,0.386956,0.266423
