site_no,station_nm,state_cd,drain_area_va
02193340,"KETTLE CREEK NEAR WASHINGTON, GA",13,33.9
02228500,"NORTH PRONG ST. MARYS RIVER AT MONIAC, GA",12,160
02266200,"WHITTENHORSE CREEK NEAR VINELAND, FL",12,12.4
02268390,TIGER CREEK NEAR BABSON PARK FL,12,52.8
02295013,BOWLEGS CREEK NEAR FORT MEADE FL,12,47.2
02296500,CHARLIE CREEK NEAR GARDNER FL,12,330
02297155,HORSE CREEK NEAR MYAKKA HEAD FL,12,42.0
02298123,PRAIRIE CREEK NEAR FORT OGDEN FL,12,233
02298608,MYAKKA RIVER AT MYAKKA CITY FL,12,125
02299950,"MANATEE RIVER AT SR 64 NEAR MYAKKA HEAD, FL",12,65.3
02312200,"LITTLE WITHLACOOCHEE RIVER AT RERDELL, FL",12,145
02315500,"SUWANNEE RIVER AT WHITE SPRINGS, FLA.",12,2430.00
02315550,SUWANNEE RIVER AT SUWANNEE SPRINGS FLA,12,2630.00
02322700,"ICHETUCKNEE R @ HWY27 NR HILDRETH, FL",12,213
02324000,"STEINHATCHEE RIVER NEAR CROSS CITY, FLA.",12,350.0
02326000,"ECONFINA RIVER NEAR PERRY, FLA.",12,198.00
02327100,"SOPCHOPPY RIVER NR SOPCHOPPY, FLA.",12,102.00
02338523,"HILLABAHATCHEE CREEK AT THAXTON RD, NR FRANKLIN,GA",13,16.8
02339495,OSELIGEE CREEK NEAR LANETT AL,01,86.4
02343225,"PATAULA CREEK NEAR GEORGETOWN, GA",13,295.00
02343940,"SAWHATCHEE CREEK AT CEDAR SPRINGS, GA",13,64.2
02350600,"KINCHAFOONEE CREEK AT PRESTON, GA",13,197
02361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",01,686.00
02364500,PEA RIVER NEAR SAMSON AL,01,1182.00
02365470,"WRIGHTS CREEK AT SH 177-A NR BONIFAY,FL",12,148.00
02365769,"BRUCE CREEK AT SH 81 NR REDBAY, FL",12,82.4
02367310,"JUNIPER CREEK AT STATE HWY 85 NR NICEVILLE, FLA.",12,27.6
02369800,BLACKWATER RIVER NEAR BRADLEY AL,01,87.70
02370000,"BLACKWATER RIVER NR BAKER, FLA.",12,205.00
02371500,CONECUH RIVER AT BRANTLEY AL,01,500.00
02372250,PATSALIGA CREEK NEAR BRANTLEY AL,01,442.00
02373000,SEPULGA RIVER NEAR MCKENZIE AL,01,470.00
02374500,MURDER CREEK NEAR EVERGREEN AL,01,176.00
02374745,"BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON, AL.",01,182.00
02388975,"ETOWAH RIVER AT GA 136, NEAR LANDDRUM, GA",13,97.3
02408540,HATCHET CREEK BELOW ROCKFORD AL,01,263.00
02422500,MULBERRY CREEK AT JONES AL,01,203.00
02427250,"PINE BARREN CREEK NEAR SNOW HILL, AL.",01,261.00
02450250,SIPSEY FORK NEAR GRAYSON AL,01,92.10
02450825,"CLEAR C AT NEW HOPE CHURCH NR POPLAR SPRINGS, AL.",01,101
02464000,NORTH RIVER NEAR SAMANTHA AL,01,223.00
02467500,SUCARNOOCHEE RIVER AT LIVINGSTON AL,01,607.00
02469800,SATILPA CREEK NEAR COFFEEVILLE AL,01,164.00
02470072,"BASSETT CREEK AT US HIGHWAY 43 NR THOMASVILLE, AL.",01,10.5
02472000,"LEAF RIVER NR COLLINS, MS",28,743
02472850,"OKATOMA CREEK AT SANFORD, MS",28,257.00
02479155,"CYPRESS CREEK NR JANICE, MS",28,52.6
02481510,"WOLF RIVER NR LANDON, MS",28,308
03544970,"HIWASSEE RIVER AT RIVERSIDE DR, NR HIAWASSEE, GA",13,39.5
03574500,PAINT ROCK RIVER NEAR WOODVILLE AL,01,320.00
