site_no,AREA
2193340,86784000
2338523,43008000
2339495,221184000
2343225,755200000
2343940,164352000
2361000,1756160000
2364500,3025920000
2369800,224512000
2371500,1280000000
2372250,1131520000
2373000,1203200000
2374500,450560000
2374745,465920000
2388975,249088000
2408540,673280000
2422500,519680000
2427250,668160000
2350600,504320000
2450250,235776000
2450825,258560000
2464000,570880000
2467500,1553920000
2469800,419840000
2470072,26880000
2472000,1902080000
2472850,657920000
2479155,134656000
2481510,788480000
3544970,3233280000
3574500,2915840000
2370000,524800000
2367310,70656000
2365769,210944000
2365470,378880000
2327100,261120000
2326000,506880000
2324000,896000000
2322700,545280000
2315550,6732800000
2315500,6220800000
2228500,409600000
2299950,167168000
2298608,320000000
2312200,371200000
2297155,107520000
2296500,844800000
2298123,596480000
2295013,120832000
2266200,31744000
2268390,135168000
