covariate,metric,method,control,n,coef,p,ci95_low,ci95_high
drainage_area_sqmi,nrmse,pearson,,50,0.0534639,0.712315,-0.228281,0.326946
drainage_area_sqmi,nrmse,pearson_log10x,,50,-0.0551481,0.703662,-0.328454,0.226679
drainage_area_sqmi,nrmse,spearman,,50,-0.0469148,0.746298,-0.32863,0.242466
drainage_area_sqmi,kge,pearson,,50,-0.180954,0.208541,-0.437277,0.10256
drainage_area_sqmi,kge,pearson_log10x,,50,-0.082454,0.569178,-0.352707,0.200495
drainage_area_sqmi,kge,spearman,,50,-0.0260744,0.857356,-0.309889,0.262006
drainage_area_sqmi,kge_r,pearson,,50,-0.0241927,0.867555,-0.300517,0.255878
drainage_area_sqmi,kge_r,pearson_log10x,,50,-0.0512565,0.723711,-0.324968,0.230378
drainage_area_sqmi,kge_r,spearman,,50,-0.161104,0.263701,-0.427523,0.131063
drainage_area_sqmi,kge_alpha,pearson,,50,-0.244132,0.08753,-0.489235,0.03671
drainage_area_sqmi,kge_alpha,pearson_log10x,,50,-0.15164,0.293154,-0.412573,0.132292
drainage_area_sqmi,kge_alpha,spearman,,50,-0.105594,0.465498,-0.380232,0.186156
drainage_area_sqmi,kge_beta,pearson,,50,-0.185304,0.197625,-0.44091,0.0981039
drainage_area_sqmi,kge_beta,pearson_log10x,,50,0.0211996,0.88382,-0.258674,0.29779
drainage_area_sqmi,kge_beta,spearman,,50,0.13892,0.335979,-0.1533,0.408797
drainage_area_nwis_sqmi,nrmse,pearson,,50,0.0533386,0.71296,-0.2284,0.326834
drainage_area_nwis_sqmi,nrmse,pearson_log10x,,50,-0.0552032,0.703379,-0.328503,0.226627
drainage_area_nwis_sqmi,nrmse,spearman,,50,-0.0469148,0.746298,-0.32863,0.242466
drainage_area_nwis_sqmi,kge,pearson,,50,-0.180947,0.208558,-0.437271,0.102566
drainage_area_nwis_sqmi,kge,pearson_log10x,,50,-0.0824026,0.56942,-0.352661,0.200545
drainage_area_nwis_sqmi,kge,spearman,,50,-0.0260744,0.857356,-0.309889,0.262006
drainage_area_nwis_sqmi,kge_r,pearson,,50,-0.0243212,0.866857,-0.300634,0.255758
drainage_area_nwis_sqmi,kge_r,pearson_log10x,,50,-0.0514749,0.722581,-0.325164,0.230171
drainage_area_nwis_sqmi,kge_r,spearman,,50,-0.161104,0.263701,-0.427523,0.131063
drainage_area_nwis_sqmi,kge_alpha,pearson,,50,-0.24408,0.0876,-0.489192,0.0367655
drainage_area_nwis_sqmi,kge_alpha,pearson_log10x,,50,-0.1514,0.293928,-0.412369,0.132533
drainage_area_nwis_sqmi,kge_alpha,spearman,,50,-0.105594,0.465498,-0.380232,0.186156
drainage_area_nwis_sqmi,kge_beta,pearson,,50,-0.185142,0.198024,-0.440775,0.0982696
drainage_area_nwis_sqmi,kge_beta,pearson_log10x,,50,0.0214195,0.882623,-0.258469,0.297991
drainage_area_nwis_sqmi,kge_beta,spearman,,50,0.13892,0.335979,-0.1533,0.408797
mean_streamflow_2018_cms,nrmse,pearson,,50,-0.0150296,0.917492,-0.292155,0.264424
mean_streamflow_2018_cms,nrmse,pearson_log10x,,50,-0.128537,0.373678,-0.39283,0.155369
mean_streamflow_2018_cms,nrmse,spearman,,50,-0.115774,0.42334,-0.389014,0.176188
mean_streamflow_2018_cms,kge,pearson,,50,-0.134216,0.352755,-0.397706,0.149725
mean_streamflow_2018_cms,kge,pearson_log10x,,50,-0.0841534,0.561216,-0.354204,0.198852
mean_streamflow_2018_cms,kge,spearman,,50,-0.0410564,0.777108,-0.323384,0.247983
mean_streamflow_2018_cms,kge_r,pearson,,50,-0.0437289,0.763008,-0.318203,0.23751
mean_streamflow_2018_cms,kge_r,pearson_log10x,,50,-0.113111,0.434155,-0.37951,0.170608
mean_streamflow_2018_cms,kge_r,spearman,,50,-0.215462,0.13291,-0.472461,0.0753066
mean_streamflow_2018_cms,kge_alpha,pearson,,50,-0.202465,0.158514,-0.455162,0.0804141
mean_streamflow_2018_cms,kge_alpha,pearson_log10x,,50,-0.128281,0.37464,-0.39261,0.155624
