gauge_id,state,station_nm,drainage_area_sqmi,mean_streamflow_2018_cms,n_labeled,mean_labeled_bf_cms,sd_labeled_bf_cms,nrmse,kge,kge_r,kge_alpha,kge_beta,pbias_pct,bias_share_of_mse,rmse_cms,cv_labeled_bf,cv_streamflow_2018,cv_streamflow_2013_2018,mean_streamflow_2013_2018_cms,n_days_2013_2018,n_strict,drainage_area_nwis_sqmi
2193340,GA,"KETTLE CREEK NEAR WASHINGTON, GA",33.5075,0.591858,156,0.0689805,0.0786685,0.54458,0.568817,0.951026,0.759024,0.645809,-35.4191,0.423011,0.0375654,1.14045,2.91015,3.98114,0.567446,2190,23,33.9
2338523,GA,"HILLABAHATCHEE CREEK AT THAXTON RD, NR FRANKLIN,GA",16.6055,0.793087,115,0.360163,0.118848,0.287922,0.655065,0.924979,0.78022,0.744954,-25.5046,0.784671,0.103699,0.329985,1.12832,1.72603,0.673684,2191,24,16.8
2339495,AL,OSELIGEE CREEK NEAR LANETT AL,85.3996,3.46277,94,0.566309,0.324552,0.524886,0.456051,0.738629,0.682594,0.643884,-35.6116,0.460314,0.297248,0.573101,2.0553,2.56715,2.94931,2191,28,86.4
2343225,GA,"PATAULA CREEK NEAR GEORGETOWN, GA",291.584,9.52713,86,4.22628,1.28021,0.302644,0.595397,0.681913,0.851482,0.798838,-20.1162,0.441803,1.27906,0.302917,0.922919,1.12584,10.1054,2191,22,295
2343940,GA,"SAWHATCHEE CREEK AT CEDAR SPRINGS, GA",63.4567,2.93692,235,1.10431,0.796211,0.634109,0.304847,0.666856,0.473789,0.691204,-30.8796,0.237146,0.700251,0.721005,1.47422,1.79149,3.01847,2191,39,64.2
2361000,AL,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",678.057,25.1056,138,10.951,4.39157,0.335311,0.544661,0.796483,0.661218,0.773855,-22.6145,0.454861,3.672,0.40102,1.03007,1.33261,28.119,2191,29,686
2364500,AL,PEA RIVER NEAR SAMSON AL,1168.31,38.8685,72,15.3363,5.44987,0.249812,0.764385,0.787924,0.9855,0.898372,-10.1628,0.1655,3.83119,0.355358,0.76874,1.09387,43.2113,1461,25,1182
2369800,AL,BLACKWATER RIVER NEAR BRADLEY AL,86.6846,4.20021,118,1.99329,0.641164,0.281543,0.527182,0.590971,0.782073,0.906407,-9.3593,0.110509,0.561196,0.321661,1.03374,1.31348,4.04545,2191,28,87.7
2371500,AL,CONECUH RIVER AT BRANTLEY AL,494.211,15.6343,81,4.46811,1.43946,0.262621,0.684271,0.702849,0.96416,0.899496,-10.0504,0.146457,1.17342,0.322163,1.70637,1.62452,17.7384,2191,34,500
2372250,AL,PATSALIGA CREEK NEAR BRANTLEY AL,436.882,14.0663,67,4.0537,1.73453,0.34251,0.510042,0.67039,0.663232,0.865824,-13.4176,0.153464,1.38843,0.427889,1.51193,1.54324,15.6877,2191,27,442
