gauge_id,state,n_strict,n_threshold_only,nrmse_strict,nrmse_threshold_only,pbias_strict_pct,pbias_threshold_only_pct,recession_b_observed,recession_b_pybfs,n_fit_observed,n_fit_pybfs,frac_pybfs_not_receding
2193340,GA,23,133,0.385861,0.592808,-29.1793,-38.6609,0.626667,1.0034,23,23,0
2338523,GA,24,91,0.296232,0.277495,-25.8654,-25.3681,1.04427,1.18845,24,24,0
2339495,AL,28,66,0.568684,0.429498,-43.4523,-30.1033,0.60765,0.918036,28,28,0
2343225,GA,22,64,0.333942,0.281225,-20.3493,-20.0152,0.90116,1.07733,22,22,0
2343940,GA,39,196,0.89374,0.315216,-44.4514,-25.9892,1.94144,1.04141,39,39,0
2361000,AL,29,109,0.396713,0.300413,-22.8858,-22.5209,1.13118,0.954816,29,28,0.0344828
2364500,AL,25,47,0.257706,0.238347,-11.7266,-9.0794,1.21074,0.916452,25,25,0
2369800,AL,28,90,0.360111,0.229698,-19.6202,-5.31553,1.7577,1.018,28,28,0
2371500,AL,34,47,0.269086,0.247572,-9.04191,-11.0244,1.26095,0.802573,34,34,0
2372250,AL,27,40,0.377329,0.270401,-20.9427,-6.10542,1.29548,0.839225,27,27,0
2373000,AL,30,54,0.377036,0.376216,-17.8338,2.21833,1.53084,0.98638,30,30,0
2374500,AL,19,30,0.232216,0.181899,-13.0245,-9.82181,1.18217,0.939642,19,19,0
2374745,AL,22,46,0.490011,0.34739,-21.1662,-12.8723,0.818677,1.02868,22,22,0
2388975,GA,28,107,0.237207,0.193077,-18.8397,-14.8914,1.34957,1.17138,28,27,0.0357143
2408540,AL,39,111,0.347971,0.419051,-27.4947,-36.8653,1.11704,1.02655,39,39,0
2422500,AL,19,160,0.382471,0.332254,-27.5782,-26.8026,1.41274,1.25873,19,19,0
2427250,AL,28,98,0.408952,0.286388,-21.5024,-8.44995,1.38366,1.02949,28,28,0
2350600,GA,19,51,0.351303,0.359086,-0.890534,-3.04544,0.565215,1.13867,19,19,0
2450250,AL,43,135,0.507813,0.494753,-17.6434,-35.0966,1.13589,1.04737,43,43,0
2450825,AL,28,110,0.21582,0.367458,-14.714,-28.3687,1.22037,1.02444,28,28,0
2464000,AL,44,117,0.555883,0.557452,-24.7573,-33.666,0.991454,1.02922,44,44,0
2467500,AL,44,147,0.498057,0.251563,-16.258,-8.97754,1.13597,1.13815,44,44,0
2469800,AL,20,98,0.301489,0.394408,-11.554,-21.4931,0.99074,1.00457,20,20,0
2470072,AL,18,109,0.435491,0.68659,-16.7554,-12.3022,0.166343,0.981962,18,18,0
2472000,MS,40,104,0.53172,0.307139,-28.174,-17.9962,1.39294,1.09446,40,40,0
2472850,MS,34,80,0.359527,0.240173,-25.2216,-19.3452,1.81708,2.05578,34,32,0.0588235
2479155,MS,22,67,0.336914,0.279455,-15.2632,-16.6361,1.37485,1.10976,22,22,0
2481510,MS,25,71,0.301661,0.368866,-4.46506,-11.8524,0.969035,1.0265,25,25,0
3544970,GA,42,173,0.412328,0.258666,-30.8646,-21.2768,1.71195,1.16619,42,42,0
3574500,AL,56,90,0.481852,0.571335,-30.7282,-44.2599,1.17541,1.01251,56,56,0
2370000,FL,34,94,0.354876,0.20239,-15.3214,-13.9767,2.44721,1.04439,34,34,0
2367310,FL,13,38,0.0427318,0.0638127,-2.4032,-1.6522,2.03232,2.16391,13,13,0
2365769,FL,27,57,0.362827,0.377533,-12.1699,-26.1978,1.18142,1.02691,27,27,0
2365470,FL,42,80,0.319691,0.429706,-24.638,-35.9946,2.09277,1.02802,42,42,0
2327100,FL,65,81,0.48648,0.558746,-26.8951,-39.874,1.35371,0.994196,65,65,0
2326000,FL,69,124,0.826347,0.476665,-54.0924,-40.5297,1.71079,0.973774,69,69,0
2324000,FL,67,106,0.438333,0.464571,-28.72,-39.3403,1.09904,0.987428,67,67,0
2322700,FL,2,103,0.0570112,0.0360807,-5.46194,-2.56095,,,2,0,1
2315550,FL,56,129,0.536296,0.382752,-43.7321,-34.3808,1.08033,0.991874,56,56,0
2315500,FL,59,117,0.647024,0.49495,-48.163,-44.5339,0.754474,0.943508,59,59,0
2228500,GA,60,123,0.423538,0.555659,-30.3883,-47.7834,1.02066,0.997123,60,60,0
2299950,FL,18,161,0.417266,0.333442,-15.2993,-24.4386,0.92216,1.33883,18,18,0
2298608,FL,50,156,0.818658,0.573103,-39.1421,-45.5134,1.43915,1.05469,50,50,0
2312200,FL,64,121,0.337316,0.466881,-21.5072,-35.4616,0.742963,1.02425,64,64,0
2297155,FL,56,131,0.540546,0.473434,-19.2362,-38.7168,1.0991,0.987812,56,56,0
2296500,FL,73,144,0.591406,0.458503,-0.453493,-22.5107,1.16376,0.984572,73,73,0
2298123,FL,50,150,0.418262,0.435638,-23.1441,-35.0024,1.14148,1.01091,50,50,0
2295013,FL,76,131,0.777215,0.457802,-40.4721,-33.2265,1.23516,0.979932,76,76,0
2266200,FL,81,55,0.450877,0.716128,-33.6208,-47.5737,0.692635,0.956154,81,81,0
2268390,FL,70,109,0.242045,0.234568,-20.3138,-19.9638,1.52143,1.76527,70,69,0.0142857
